School Name,Region?,Metro Area,Setting?,Gender Setting,HBCU,Primary Focus,Undergraduate Size,Student Living,Religious Affiliation,Budget Category,Tuition & Fees,Room & Board,Total COA (no aid),Aid Type,Intl Students w/ Aid (#), Intl Students percentage with financial aid ,Avg Aid Awarded,Avg COA After Aid,Meets Full Need,Largest Merit Scholarship,Scholarship Name,Scholarship Info,Tuition After Largest Scholarship,Total COA After Largest Scholarship,How to Apply for Aid,Early Plan,ED2 Offered,Tags
Manhattanville College,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,,44604,15860,64464,Both,35,0.94,25291,,No,25000,Chairperson's Scholarship,The highest merit award offered by the college. All first-year applicants are automatically considered based on their admission application.,19604,39464,Automatic consideration,Early Action Only,,early_admission
Marist College,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,High,On-campus,2-Slightly,45000,47750,20970,72720,Both,102,1,24009,43711,No,25000,Presidential Scholarship,The premier Merit Scholarship awarded to the top applicants each year. Consideration is automatic with the application for admission.,22750,47720,Automatic consideration,Both,,early_admission
Marquette University,Midwest (Great Lakes),,City: Large,Coeducational,No,Balanced,Majority,On-campus,3-Somewhat,40000,51170,16490,71660,Both,104,0.99,30179,38261,No,Full ride,Global Scholar Program,"This program is no longer offered. International students are considered for other Merit Scholarships, like the Père Marquette Award, automatically upon admission.",0,4000,Requires application,Early Action Only,,early_admission
Marshall University,Southeast,,City: Small,Coeducational,No,Professional,High,On-campus,0-None,15000,20342,11908,36250,Merit,54,0.7,23346,13800,No,14000,John Marshall Scholarship,This is a premier scholarship for non-resident students. Requires a separate application and an on-campus interview for finalists.,6342,22250,Automatic consideration,,,affordable
Mary Baldwin University,Southeast,,City: Small,Coeducational,No,Balanced,Majority,Off-campus,1-Historically,,34152,11411,49563,Merit,1,0.1,23000,,No,22000,Merit Scholarships,All students are automatically considered for Merit Scholarships based on academic achievement upon admission. No separate application is required.,12152,27563,Automatic consideration,,,
Maryville University of Saint Louis,Midwest (Great Plains),,Suburb: Large,Coeducational,No,Professional,Majority,On-campus,1-Historically,25000,27166,13900,45066,Merit,163,0.99,20282,24184,No,,,,,TBD,Unclear,,,affordable
Massachusetts Institute of Technology,Northeast (New England),"Boston, MA",City: Midsize,Coeducational,No,Arts and Sciences,Minority,On-campus,0-None,15000,62396,20280,86676,Need,379,0.74,72712,10834,Yes (Need-blind),,,,,,,Early Action Only,,early_admission; generous_aid; affordable; global_top_200
McDaniel College,Northeast (Mid-Atlantic),"Washington, DC",Town: Fringe,Coeducational,No,Arts and Sciences,Majority,On-campus,1-Historically,,52081,12974,69055,Both,No data, No data ,No data,,No,30000,Merit Scholarships,All applicants are automatically considered for Merit Scholarships (highest is the Presidential Scholarship) based on their admission application. No separate application required.,22081,39055,Automatic consideration,Both,,early_admission; generous_aid
Mercer University,Southeast (Deep South),,City: Midsize,Coeducational,No,Balanced,Majority,On-campus,1-Historically,25000,42312,15156,61468,Merit,90,0.97,35095,24323,No,Full Tuition,Stamps Scholarship,"A prestigious, full-cost-of-attendance scholarship. Requires a separate application after being admitted to Mercer. Finalists are invited for an on-campus interview.",0,19156,By invitation only,Early Action Only,,early_admission; affordable
Mercyhurst University,Northeast (Mid-Atlantic),,City: Small,Coeducational,No,Professional,High,On-campus,3-Somewhat,20000,45770,12958,62728,Both,108,0.87,45346,17438,,,,,,,Unclear,,,affordable
Meredith College,Southeast,"Raleigh, NC",City: Large,Women's,No,Balanced,High,On-campus,1-Historically,25000,45630,13280,62910,Merit,48,1,39567,21289,No,Full ride+stipend,Meredith Full-Ride Merit Scholarship,Includes several full-ride scholarships. Requires a separate application and participation in a Scholars Weekend for finalists. Open to high-achieving first-year applicants.,0,1000,Requires application,Both,,early_admission; affordable
Methodist University,Southeast,,City: Midsize,Coeducational,No,Professional,High,On-campus,4-Moderately,35000,41250,14250,59500,Merit,91,1,23934,33316,No,,,,,,Unclear,,,
Miami University-Ohio,Midwest (Great Lakes),,Town: Fringe,Coeducational,No,Professional,Very High,On-campus,0-None,45000,39298,16093,59391,Merit,,,16790,42048,No,Full ride+stipend,Presidential Fellows Program,A premier scholarship and enrichment program. Requires a separate application to the University Honors College. Open to international students. Other Merit Scholarships are awarded automatically.,0,3000,Automatic consideration,Both,,early_admission
Michigan State University,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,High,On-campus,0-None,45000,45178,11754,60932,Merit,810,0.38,19000,40794,No,25000,International Tuition Grant,A need-based grant awarded to a limited number of international undergraduate students. Students must demonstrate financial need. It is not a merit-based scholarship.,20178,35932,Automatic consideration,Early Action Only,,early_admission; global_top_200
Michigan Technological University,Midwest (Great Lakes),,Town: Remote,Coeducational,No,Professional,High,Off-campus,0-None,35000,42988,13050,60038,Merit,39,0.83,23279,34835,No,OOS waiver,Alumni Legacy Award,This specific award requires a parent or grandparent to be an MTU graduate. All international students are automatically considered for the general Merit Scholarship upon admission.,19123,36173,Automatic consideration,,,
Middle Tennessee State University,Southeast,,City: Midsize,Coeducational,No,Balanced,Very High,On-campus,0-None,30000,32050,12242,48292,Merit,188,0.59,18194,25206,No,16000,International Merit Scholarship,Awarded to new international students who meet specific GPA requirements. Consideration is automatic upon admission. No separate application is needed.,16050,32292,Automatic consideration,,,affordable
Middlebury College,Northeast (New England),,Town: Distant,Coeducational,No,Arts and Sciences,Very High,On-campus,1-Historically,20000,67600,19250,90850,Need,181,0.59,69921,17959,Yes (Need-aware),,,,,,Unclear,Early Decision only,Yes,early_admission; generous_aid; affordable
Midway University,Southeast,,Rural: Distant,Coeducational,No,Professional,Very High,On-campus,3-Somewhat,,27200,9800,41000,,48,0.73,14521,,No,not specified,Merit Scholarships,The university offers institutional Merit Scholarships to all qualifying undergraduate students upon acceptance. No separate application is needed.,,,,,,
Milligan University,South (Central),,Suburb: Midsize,Coeducational,No,Professional,Majority,On-campus,4-Moderately,20000,40450,8900,53350,Need,79,1,31449,19901,,,,,,,Unclear,,,affordable
Millikin University,Midwest (Great Lakes),,City: Small,Coeducational,No,Balanced,Very High,On-campus,1-Historically,30000,26792,13106,43898,Merit,53,0.89,32165,28735,No,25000,International Academic Scholarship,All international students who are accepted for admission are automatically considered for this merit-based scholarship. No separate application required.,1792,18898,Automatic consideration,,,affordable
Millsaps College,Southeast (Deep South),,City: Midsize,Coeducational,No,Arts and Sciences,Very High,On-campus,2-Slightly,,43815,14210,62025,Merit,No data,,No data,,No,Full Tuition,Premier Scholarship,"Includes several competitive scholarships, some being full-tuition. Requires a separate application after admission, and finalists are invited to a Scholars' Weekend.",0,18210,Requires application,,,generous_aid
Milwaukee School of Engineering,Midwest (Great Lakes),,City: Large,Coeducational,No,Professional,Very High,Off-campus,0-None,50000,50358,13970,68328,Merit,53,0.47,16230,48753,No,,,,,TBD,Unclear,,,
Minnesota State University-Mankato,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,30000,18861,12420,35281,Merit,973,0.95,7542,25924,No,not specified,International Maverick Scholarships,This scholarship is for continuing students based on cultural contributions. New students may be eligible for other awards and should check the scholarship finder.,,,Unclear,,,affordable
Minnesota State University-Moorhead,Midwest (Great Plains),,Suburb: Midsize,Coeducational,No,Professional,High,On-campus,0-None,20000,10336,10104,24440,Merit,141,1,8838,15602,No,,,,,,,,,affordable
Minot State University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,20000,8702,8534,21236,Merit,128,0.59,3203,17489,No,"Under $5,000",Academic Excellence,The top automatic scholarship for new students based on unweighted GPA. No separate application is required.,,,,,,affordable
Mississippi State University,Southeast (Deep South),,Town: Remote,Coeducational,No,Professional,High,Off-campus,0-None,40000,27637,12902,44539,Merit,210,0.91,4233,38640,No,25000,Out-of-state resident scholarship,"Based on the PDF, these are scholarships for non-resident students. Consideration is automatic with the admission application based on GPA and test scores.",2637,19539,Requires application,,,
Missouri State University-Springfield,Midwest (Great Plains),,City: Midsize,Coeducational,No,Professional,High,On-campus,0-None,,17928,9782,31710,Merit,No data,,No data,,No,10000,International Leadership Scholarship,"This scholarship is for students from a Sister City of Springfield, MO, or those who graduate from a partner high school. Not generally available.",7928,21710,Requires application,,,generous_aid
Missouri University of Science and Technology,Midwest (Great Plains),,Town: Remote,Coeducational,No,Professional,High,On-campus,0-None,35000,33466,12862,50328,Merit,123,0.86,15500,31940,No,,,,,TBD,Unclear,,,
Monmouth University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,High,On-campus,0-None,15000,46552,18980,69532,Merit,63,1,51666,14922,No,,,,,,Unclear,Both,,early_admission; generous_aid; affordable
Montana State University,West (Rocky Mountains),,City: Small,Coeducational,No,Professional,Very High,On-campus,0-None,45000,31337,11300,46637,Merit,66,0.58,6461,40176,No,Full Tuition,Presidential Scholarship,"MSU’s most prestigious scholarship. Requires a separate application, including essays and recommendations. Open to international students.",0,15300,Requires application,,,
Montclair State University,Northeast (Mid-Atlantic),New York City,Suburb: Large,Coeducational,No,Balanced,High,On-campus,0-None,45000,26022,16730,46752,Merit,77,0.38,2916,41598,No,,,,,TBD,Unclear,Early Action Only,,early_admission
Moravian University,Northeast (Mid-Atlantic),"Philadelphia, PA",City: Small,Coeducational,No,Balanced,High,On-campus,2-Slightly,30000,53500,15812,73312,Both,6,0.75,44811,26540,No,34000,Merit Scholarships,All applicants are automatically considered for Merit Scholarships upon admission. The Comenius Scholarship is the highest award. No separate application is required.,19500,39312,Automatic consideration,Early Action Only,,early_admission; affordable
Morehead State University,Southeast,,Town: Remote,Coeducational,No,Balanced,Very High,On-campus,0-None,15000,14980,10994,29974,Merit,59,0.86,15213,12435,No,,,,,TBD,Unclear,Early Decision only,,early_admission; affordable
Morehouse College,Southeast (Deep South),,City: Large,Men's,Yes,Arts and Sciences,Exclusively,On-campus,1-Historically,55000,32893,14778,51671,Merit,,,,50331,No,,,,,TBD,Unclear,Both,,early_admission
Morningside University,Midwest (Great Plains),,City: Small,Coeducational,No,Professional,Majority,On-campus,2-Slightly,,38190,10720,52910,Pending,No data,,No data,,,,,,,,Unclear,,,generous_aid
